file,activity_name,shoe
2026-02-19_12-52-05.FIT,City of Westminster - 5K Prep 1000-400-200,
2026-02-18_12-33-18.FIT,Track 5k fitness test,
2026-02-20_12-04-09.FIT,Lunch run Easy 10km,
2026-02-17_12-57-54.FIT,City of Westminster - O/U 3-2-2-2,
2026-02-17_12-28-01.FIT,City of Westminster - O/U 3-2-2-2,
2026-02-15_11-26-29.FIT,Lewisham Running,
2026-02-14_09-56-52.FIT,Southwark Running,
2026-02-14_09-05-56.FIT,Southwark Running,
2026-02-14_08-55-03.FIT,Southwark Running,
2026-02-13_14-42-23.FIT,Lewisham Running,
2026-02-12_12-35-54.FIT,City of Westminster - Base,
2026-02-11_13-29-41.FIT,City of Westminster - O/U 3-2-2-2,
2026-02-11_08-06-24.FIT,Lewisham Running,
2026-02-10_13-47-22.FIT,City of Westminster - Base,
2026-02-09_17-45-51.FIT,Lewisham Running,
2026-02-06_11-58-35.FIT,Lewisham Running,
2026-02-21_09-35-45.FIT,Easy run with Ebe,
2026-02-21_09-02-46.FIT,Burgess Parkrun,
2026-02-21_08-48-04.FIT,Parkrun warmup,
2026-02-23_14-26-51.FIT,Easy pace 10km,
2026-02-24_13-45-52.FIT,Track 6 x 400 @ 5km pace off 60’,
2026-02-25_13-58-32.FIT,10km Easy Hyde Park ☀️,
2026-02-27_12-05-48.FIT,"City of Westminster Running",
